date,tag,downloads
2026-05-15,v0.4.11,0
2026-05-15,v0.4.10,0
2026-05-15,v0.4.9,0
2026-05-15,v0.4.8,0
2026-05-15,v0.4.7,0
2026-05-15,v0.4.6,0
2026-05-15,v0.4.5,0
2026-05-15,v0.4.4,0
2026-05-15,v0.4.3,1
2026-05-15,v0.4.2,0
2026-05-15,v0.4.1,0
2026-05-15,v0.4.0,0
2026-05-15,v0.3.5,0
2026-05-15,v0.3.4,0
2026-05-15,v0.3.3,0
2026-05-15,v0.3.2,0
2026-05-15,v0.3.1,0
2026-05-15,v0.3.0,0
2026-05-15,v0.2.5,0
2026-05-15,v0.2.3,2
2026-05-15,v0.2.1,0
2026-05-15,v0.2.0,0
2026-05-16,v0.5.1,0
2026-05-16,v0.5.0,0
2026-05-16,v0.4.16,0
2026-05-16,v0.4.15,0
2026-05-16,v0.4.14,2
2026-05-16,v0.4.13,0
2026-05-16,v0.4.12,0
2026-05-16,v0.4.11,0
2026-05-16,v0.4.10,0
2026-05-16,v0.4.9,0
2026-05-16,v0.4.8,0
2026-05-16,v0.4.7,0
2026-05-16,v0.4.6,0
2026-05-16,v0.4.5,0
2026-05-16,v0.4.4,0
2026-05-16,v0.4.3,1
2026-05-16,v0.4.2,0
2026-05-16,v0.4.1,0
2026-05-16,v0.4.0,0
2026-05-16,v0.3.5,0
2026-05-16,v0.3.4,0
2026-05-16,v0.3.3,0
2026-05-16,v0.3.2,0
2026-05-16,v0.3.1,0
2026-05-16,v0.3.0,0
2026-05-16,v0.2.5,0
2026-05-16,v0.2.3,2
2026-05-16,v0.2.1,0
2026-05-16,v0.2.0,0
2026-05-17,v0.5.1,0
2026-05-17,v0.5.0,0
2026-05-17,v0.4.16,0
2026-05-17,v0.4.15,0
2026-05-17,v0.4.14,2
2026-05-17,v0.4.13,0
2026-05-17,v0.4.12,0
2026-05-17,v0.4.11,0
2026-05-17,v0.4.10,0
2026-05-17,v0.4.9,0
2026-05-17,v0.4.8,0
2026-05-17,v0.4.7,0
2026-05-17,v0.4.6,0
2026-05-17,v0.4.5,0
2026-05-17,v0.4.4,0
2026-05-17,v0.4.3,1
2026-05-17,v0.4.2,0
2026-05-17,v0.4.1,0
2026-05-17,v0.4.0,0
2026-05-17,v0.3.5,0
2026-05-17,v0.3.4,0
2026-05-17,v0.3.3,0
2026-05-17,v0.3.2,0
2026-05-17,v0.3.1,0
2026-05-17,v0.3.0,0
2026-05-17,v0.2.5,0
2026-05-17,v0.2.3,2
2026-05-17,v0.2.1,0
2026-05-17,v0.2.0,0
2026-05-18,v0.5.1,0
2026-05-18,v0.5.0,0
2026-05-18,v0.4.16,0
2026-05-18,v0.4.15,0
2026-05-18,v0.4.14,2
2026-05-18,v0.4.13,0
2026-05-18,v0.4.12,0
2026-05-18,v0.4.11,0
2026-05-18,v0.4.10,0
2026-05-18,v0.4.9,0
2026-05-18,v0.4.8,0
2026-05-18,v0.4.7,0
2026-05-18,v0.4.6,0
2026-05-18,v0.4.5,0
2026-05-18,v0.4.4,0
2026-05-18,v0.4.3,1
2026-05-18,v0.4.2,0
2026-05-18,v0.4.1,0
2026-05-18,v0.4.0,0
2026-05-18,v0.3.5,0
2026-05-18,v0.3.4,0
2026-05-18,v0.3.3,0
2026-05-18,v0.3.2,0
2026-05-18,v0.3.1,0
2026-05-18,v0.3.0,0
2026-05-18,v0.2.5,0
2026-05-18,v0.2.3,2
2026-05-18,v0.2.1,0
2026-05-18,v0.2.0,0
2026-05-19,v0.5.1,0
2026-05-19,v0.5.0,0
2026-05-19,v0.4.16,0
2026-05-19,v0.4.15,0
2026-05-19,v0.4.14,2
2026-05-19,v0.4.13,0
2026-05-19,v0.4.12,0
2026-05-19,v0.4.11,0
2026-05-19,v0.4.10,0
2026-05-19,v0.4.9,0
2026-05-19,v0.4.8,0
2026-05-19,v0.4.7,0
2026-05-19,v0.4.6,0
2026-05-19,v0.4.5,0
2026-05-19,v0.4.4,0
2026-05-19,v0.4.3,1
2026-05-19,v0.4.2,0
2026-05-19,v0.4.1,0
2026-05-19,v0.4.0,0
2026-05-19,v0.3.5,0
2026-05-19,v0.3.4,0
2026-05-19,v0.3.3,0
2026-05-19,v0.3.2,0
2026-05-19,v0.3.1,0
2026-05-19,v0.3.0,0
2026-05-19,v0.2.5,0
2026-05-19,v0.2.3,2
2026-05-19,v0.2.1,0
2026-05-19,v0.2.0,0
2026-05-20,v0.5.1,0
2026-05-20,v0.5.0,0
2026-05-20,v0.4.16,0
2026-05-20,v0.4.15,0
2026-05-20,v0.4.14,2
2026-05-20,v0.4.13,0
2026-05-20,v0.4.12,0
2026-05-20,v0.4.11,0
2026-05-20,v0.4.10,0
2026-05-20,v0.4.9,0
2026-05-20,v0.4.8,0
2026-05-20,v0.4.7,0
2026-05-20,v0.4.6,0
2026-05-20,v0.4.5,0
2026-05-20,v0.4.4,0
2026-05-20,v0.4.3,1
2026-05-20,v0.4.2,0
2026-05-20,v0.4.1,0
2026-05-20,v0.4.0,0
2026-05-20,v0.3.5,0
2026-05-20,v0.3.4,0
2026-05-20,v0.3.3,0
2026-05-20,v0.3.2,0
2026-05-20,v0.3.1,0
2026-05-20,v0.3.0,0
2026-05-20,v0.2.5,0
2026-05-20,v0.2.3,2
2026-05-20,v0.2.1,0
2026-05-20,v0.2.0,0
2026-05-21,v0.5.1,0
2026-05-21,v0.5.0,0
2026-05-21,v0.4.16,0
2026-05-21,v0.4.15,0
2026-05-21,v0.4.14,2
2026-05-21,v0.4.13,0
2026-05-21,v0.4.12,0
2026-05-21,v0.4.11,0
2026-05-21,v0.4.10,0
2026-05-21,v0.4.9,0
2026-05-21,v0.4.8,0
2026-05-21,v0.4.7,0
2026-05-21,v0.4.6,0
2026-05-21,v0.4.5,0
2026-05-21,v0.4.4,0
2026-05-21,v0.4.3,1
2026-05-21,v0.4.2,0
2026-05-21,v0.4.1,0
2026-05-21,v0.4.0,0
2026-05-21,v0.3.5,0
2026-05-21,v0.3.4,0
2026-05-21,v0.3.3,0
2026-05-21,v0.3.2,0
2026-05-21,v0.3.1,0
2026-05-21,v0.3.0,0
2026-05-21,v0.2.5,0
2026-05-21,v0.2.3,2
2026-05-21,v0.2.1,0
2026-05-21,v0.2.0,0
2026-05-22,v0.5.1,0
2026-05-22,v0.5.0,0
2026-05-22,v0.4.16,0
2026-05-22,v0.4.15,0
2026-05-22,v0.4.14,2
2026-05-22,v0.4.13,0
2026-05-22,v0.4.12,0
2026-05-22,v0.4.11,0
2026-05-22,v0.4.10,0
2026-05-22,v0.4.9,0
2026-05-22,v0.4.8,0
2026-05-22,v0.4.7,0
2026-05-22,v0.4.6,0
2026-05-22,v0.4.5,0
2026-05-22,v0.4.4,0
2026-05-22,v0.4.3,1
2026-05-22,v0.4.2,0
2026-05-22,v0.4.1,0
2026-05-22,v0.4.0,0
2026-05-22,v0.3.5,0
2026-05-22,v0.3.4,0
2026-05-22,v0.3.3,0
2026-05-22,v0.3.2,0
2026-05-22,v0.3.1,0
2026-05-22,v0.3.0,0
2026-05-22,v0.2.5,0
2026-05-22,v0.2.3,2
2026-05-22,v0.2.1,0
2026-05-22,v0.2.0,0
2026-05-23,v0.5.1,0
2026-05-23,v0.5.0,0
2026-05-23,v0.4.16,0
2026-05-23,v0.4.15,0
2026-05-23,v0.4.14,2
2026-05-23,v0.4.13,0
2026-05-23,v0.4.12,0
2026-05-23,v0.4.11,0
2026-05-23,v0.4.10,0
2026-05-23,v0.4.9,0
2026-05-23,v0.4.8,0
2026-05-23,v0.4.7,0
2026-05-23,v0.4.6,0
2026-05-23,v0.4.5,0
2026-05-23,v0.4.4,0
2026-05-23,v0.4.3,1
2026-05-23,v0.4.2,0
2026-05-23,v0.4.1,0
2026-05-23,v0.4.0,0
2026-05-23,v0.3.5,0
2026-05-23,v0.3.4,0
2026-05-23,v0.3.3,0
2026-05-23,v0.3.2,0
2026-05-23,v0.3.1,0
2026-05-23,v0.3.0,0
2026-05-23,v0.2.5,0
2026-05-23,v0.2.3,2
2026-05-23,v0.2.1,0
2026-05-23,v0.2.0,0
2026-05-24,v0.5.1,0
2026-05-24,v0.5.0,0
2026-05-24,v0.4.16,0
2026-05-24,v0.4.15,0
2026-05-24,v0.4.14,2
2026-05-24,v0.4.13,0
2026-05-24,v0.4.12,0
2026-05-24,v0.4.11,0
2026-05-24,v0.4.10,0
2026-05-24,v0.4.9,0
2026-05-24,v0.4.8,0
2026-05-24,v0.4.7,0
2026-05-24,v0.4.6,0
2026-05-24,v0.4.5,0
2026-05-24,v0.4.4,0
2026-05-24,v0.4.3,1
2026-05-24,v0.4.2,0
2026-05-24,v0.4.1,0
2026-05-24,v0.4.0,0
2026-05-24,v0.3.5,0
2026-05-24,v0.3.4,0
2026-05-24,v0.3.3,0
2026-05-24,v0.3.2,0
2026-05-24,v0.3.1,0
2026-05-24,v0.3.0,0
2026-05-24,v0.2.5,0
2026-05-24,v0.2.3,2
2026-05-24,v0.2.1,0
2026-05-24,v0.2.0,0
2026-05-25,v0.5.1,0
2026-05-25,v0.5.0,0
2026-05-25,v0.4.16,0
2026-05-25,v0.4.15,0
2026-05-25,v0.4.14,2
2026-05-25,v0.4.13,0
2026-05-25,v0.4.12,0
2026-05-25,v0.4.11,0
2026-05-25,v0.4.10,0
2026-05-25,v0.4.9,0
2026-05-25,v0.4.8,0
2026-05-25,v0.4.7,0
2026-05-25,v0.4.6,0
2026-05-25,v0.4.5,0
2026-05-25,v0.4.4,0
2026-05-25,v0.4.3,1
2026-05-25,v0.4.2,0
2026-05-25,v0.4.1,0
2026-05-25,v0.4.0,0
2026-05-25,v0.3.5,0
2026-05-25,v0.3.4,0
2026-05-25,v0.3.3,0
2026-05-25,v0.3.2,0
2026-05-25,v0.3.1,0
2026-05-25,v0.3.0,0
2026-05-25,v0.2.5,0
2026-05-25,v0.2.3,2
2026-05-25,v0.2.1,0
2026-05-25,v0.2.0,0
2026-05-26,v0.5.1,0
2026-05-26,v0.5.0,0
2026-05-26,v0.4.16,0
2026-05-26,v0.4.15,0
2026-05-26,v0.4.14,2
2026-05-26,v0.4.13,0
2026-05-26,v0.4.12,0
2026-05-26,v0.4.11,0
2026-05-26,v0.4.10,0
2026-05-26,v0.4.9,0
2026-05-26,v0.4.8,0
2026-05-26,v0.4.7,0
2026-05-26,v0.4.6,0
2026-05-26,v0.4.5,0
2026-05-26,v0.4.4,0
2026-05-26,v0.4.3,1
2026-05-26,v0.4.2,0
2026-05-26,v0.4.1,0
2026-05-26,v0.4.0,0
2026-05-26,v0.3.5,0
2026-05-26,v0.3.4,0
2026-05-26,v0.3.3,0
2026-05-26,v0.3.2,0
2026-05-26,v0.3.1,0
2026-05-26,v0.3.0,0
2026-05-26,v0.2.5,0
2026-05-26,v0.2.3,2
2026-05-26,v0.2.1,0
2026-05-26,v0.2.0,0
2026-05-27,v0.5.1,1
2026-05-27,v0.5.0,0
2026-05-27,v0.4.16,0
2026-05-27,v0.4.15,0
2026-05-27,v0.4.14,2
2026-05-27,v0.4.13,0
2026-05-27,v0.4.12,0
2026-05-27,v0.4.11,0
2026-05-27,v0.4.10,0
2026-05-27,v0.4.9,0
2026-05-27,v0.4.8,0
2026-05-27,v0.4.7,0
2026-05-27,v0.4.6,0
2026-05-27,v0.4.5,0
2026-05-27,v0.4.4,0
2026-05-27,v0.4.3,1
2026-05-27,v0.4.2,0
2026-05-27,v0.4.1,0
2026-05-27,v0.4.0,0
2026-05-27,v0.3.5,0
2026-05-27,v0.3.4,0
2026-05-27,v0.3.3,0
2026-05-27,v0.3.2,0
2026-05-27,v0.3.1,0
2026-05-27,v0.3.0,0
2026-05-27,v0.2.5,0
2026-05-27,v0.2.3,2
2026-05-27,v0.2.1,0
2026-05-27,v0.2.0,0
2026-05-28,v0.5.1,1
2026-05-28,v0.5.0,0
2026-05-28,v0.4.16,0
2026-05-28,v0.4.15,0
2026-05-28,v0.4.14,2
2026-05-28,v0.4.13,0
2026-05-28,v0.4.12,0
2026-05-28,v0.4.11,0
2026-05-28,v0.4.10,0
2026-05-28,v0.4.9,0
2026-05-28,v0.4.8,0
2026-05-28,v0.4.7,0
2026-05-28,v0.4.6,0
2026-05-28,v0.4.5,0
2026-05-28,v0.4.4,0
2026-05-28,v0.4.3,1
2026-05-28,v0.4.2,0
2026-05-28,v0.4.1,0
2026-05-28,v0.4.0,0
2026-05-28,v0.3.5,0
2026-05-28,v0.3.4,0
2026-05-28,v0.3.3,0
2026-05-28,v0.3.2,0
2026-05-28,v0.3.1,0
2026-05-28,v0.3.0,0
2026-05-28,v0.2.5,0
2026-05-28,v0.2.3,2
2026-05-28,v0.2.1,0
2026-05-28,v0.2.0,0
2026-05-29,v0.5.1,2
2026-05-29,v0.5.0,0
2026-05-29,v0.4.16,0
2026-05-29,v0.4.15,0
2026-05-29,v0.4.14,2
2026-05-29,v0.4.13,0
2026-05-29,v0.4.12,0
2026-05-29,v0.4.11,0
2026-05-29,v0.4.10,0
2026-05-29,v0.4.9,0
2026-05-29,v0.4.8,0
2026-05-29,v0.4.7,0
2026-05-29,v0.4.6,0
2026-05-29,v0.4.5,0
2026-05-29,v0.4.4,0
2026-05-29,v0.4.3,1
2026-05-29,v0.4.2,0
2026-05-29,v0.4.1,0
2026-05-29,v0.4.0,0
2026-05-29,v0.3.5,0
2026-05-29,v0.3.4,0
2026-05-29,v0.3.3,0
2026-05-29,v0.3.2,0
2026-05-29,v0.3.1,0
2026-05-29,v0.3.0,0
2026-05-29,v0.2.5,0
2026-05-29,v0.2.3,2
2026-05-29,v0.2.1,0
2026-05-29,v0.2.0,0
2026-05-30,v0.5.1,2
2026-05-30,v0.5.0,1
2026-05-30,v0.4.16,1
2026-05-30,v0.4.15,1
2026-05-30,v0.4.14,3
2026-05-30,v0.4.13,1
2026-05-30,v0.4.12,1
2026-05-30,v0.4.11,1
2026-05-30,v0.4.10,1
2026-05-30,v0.4.9,1
2026-05-30,v0.4.8,1
2026-05-30,v0.4.7,1
2026-05-30,v0.4.6,1
2026-05-30,v0.4.5,1
2026-05-30,v0.4.4,1
2026-05-30,v0.4.3,2
2026-05-30,v0.4.2,1
2026-05-30,v0.4.1,1
2026-05-30,v0.4.0,1
2026-05-30,v0.3.5,1
2026-05-30,v0.3.4,1
2026-05-30,v0.3.3,1
2026-05-30,v0.3.2,1
2026-05-30,v0.3.1,1
2026-05-30,v0.3.0,1
2026-05-30,v0.2.5,1
2026-05-30,v0.2.3,3
2026-05-30,v0.2.1,1
2026-05-30,v0.2.0,1
2026-05-31,v0.5.1,2
2026-05-31,v0.5.0,1
2026-05-31,v0.4.16,1
2026-05-31,v0.4.15,1
2026-05-31,v0.4.14,3
2026-05-31,v0.4.13,1
2026-05-31,v0.4.12,1
2026-05-31,v0.4.11,1
2026-05-31,v0.4.10,1
2026-05-31,v0.4.9,1
2026-05-31,v0.4.8,1
2026-05-31,v0.4.7,1
2026-05-31,v0.4.6,1
2026-05-31,v0.4.5,1
2026-05-31,v0.4.4,1
2026-05-31,v0.4.3,2
2026-05-31,v0.4.2,1
2026-05-31,v0.4.1,1
2026-05-31,v0.4.0,1
2026-05-31,v0.3.5,1
2026-05-31,v0.3.4,1
2026-05-31,v0.3.3,1
2026-05-31,v0.3.2,1
2026-05-31,v0.3.1,1
2026-05-31,v0.3.0,1
2026-05-31,v0.2.5,1
2026-05-31,v0.2.3,3
2026-05-31,v0.2.1,1
2026-05-31,v0.2.0,1
2026-06-01,v0.5.1,2
2026-06-01,v0.5.0,1
2026-06-01,v0.4.16,1
2026-06-01,v0.4.15,1
2026-06-01,v0.4.14,3
2026-06-01,v0.4.13,1
2026-06-01,v0.4.12,1
2026-06-01,v0.4.11,1
2026-06-01,v0.4.10,1
2026-06-01,v0.4.9,1
2026-06-01,v0.4.8,1
2026-06-01,v0.4.7,1
2026-06-01,v0.4.6,1
2026-06-01,v0.4.5,1
2026-06-01,v0.4.4,1
2026-06-01,v0.4.3,2
2026-06-01,v0.4.2,1
2026-06-01,v0.4.1,1
2026-06-01,v0.4.0,1
2026-06-01,v0.3.5,1
2026-06-01,v0.3.4,1
2026-06-01,v0.3.3,1
2026-06-01,v0.3.2,1
2026-06-01,v0.3.1,1
2026-06-01,v0.3.0,1
2026-06-01,v0.2.5,1
2026-06-01,v0.2.3,3
2026-06-01,v0.2.1,1
2026-06-01,v0.2.0,1
2026-06-02,v0.5.1,3
2026-06-02,v0.5.0,1
2026-06-02,v0.4.16,1
2026-06-02,v0.4.15,1
2026-06-02,v0.4.14,3
2026-06-02,v0.4.13,1
2026-06-02,v0.4.12,1
2026-06-02,v0.4.11,1
2026-06-02,v0.4.10,1
2026-06-02,v0.4.9,1
2026-06-02,v0.4.8,1
2026-06-02,v0.4.7,1
2026-06-02,v0.4.6,1
2026-06-02,v0.4.5,1
2026-06-02,v0.4.4,1
2026-06-02,v0.4.3,2
2026-06-02,v0.4.2,1
2026-06-02,v0.4.1,1
2026-06-02,v0.4.0,1
2026-06-02,v0.3.5,1
2026-06-02,v0.3.4,1
2026-06-02,v0.3.3,1
2026-06-02,v0.3.2,1
2026-06-02,v0.3.1,1
2026-06-02,v0.3.0,1
2026-06-02,v0.2.5,1
2026-06-02,v0.2.3,3
2026-06-02,v0.2.1,1
2026-06-02,v0.2.0,1
2026-06-03,v0.5.1,3
2026-06-03,v0.5.0,1
2026-06-03,v0.4.16,1
2026-06-03,v0.4.15,1
2026-06-03,v0.4.14,3
2026-06-03,v0.4.13,1
2026-06-03,v0.4.12,1
2026-06-03,v0.4.11,1
2026-06-03,v0.4.10,1
2026-06-03,v0.4.9,1
2026-06-03,v0.4.8,1
2026-06-03,v0.4.7,1
2026-06-03,v0.4.6,1
2026-06-03,v0.4.5,1
2026-06-03,v0.4.4,1
2026-06-03,v0.4.3,2
2026-06-03,v0.4.2,1
2026-06-03,v0.4.1,1
2026-06-03,v0.4.0,1
2026-06-03,v0.3.5,1
2026-06-03,v0.3.4,1
2026-06-03,v0.3.3,1
2026-06-03,v0.3.2,1
2026-06-03,v0.3.1,1
2026-06-03,v0.3.0,1
2026-06-03,v0.2.5,1
2026-06-03,v0.2.3,3
2026-06-03,v0.2.1,1
2026-06-03,v0.2.0,1
2026-06-04,v0.5.1,3
2026-06-04,v0.5.0,1
2026-06-04,v0.4.16,1
2026-06-04,v0.4.15,1
2026-06-04,v0.4.14,3
2026-06-04,v0.4.13,1
2026-06-04,v0.4.12,1
2026-06-04,v0.4.11,1
2026-06-04,v0.4.10,1
2026-06-04,v0.4.9,1
2026-06-04,v0.4.8,1
2026-06-04,v0.4.7,1
2026-06-04,v0.4.6,1
2026-06-04,v0.4.5,1
2026-06-04,v0.4.4,1
2026-06-04,v0.4.3,2
2026-06-04,v0.4.2,1
2026-06-04,v0.4.1,1
2026-06-04,v0.4.0,1
2026-06-04,v0.3.5,1
2026-06-04,v0.3.4,1
2026-06-04,v0.3.3,1
2026-06-04,v0.3.2,1
2026-06-04,v0.3.1,1
2026-06-04,v0.3.0,1
2026-06-04,v0.2.5,1
2026-06-04,v0.2.3,3
2026-06-04,v0.2.1,1
2026-06-04,v0.2.0,1
2026-06-05,v0.5.1,3
2026-06-05,v0.5.0,1
2026-06-05,v0.4.16,1
2026-06-05,v0.4.15,1
2026-06-05,v0.4.14,3
2026-06-05,v0.4.13,1
2026-06-05,v0.4.12,1
2026-06-05,v0.4.11,1
2026-06-05,v0.4.10,1
2026-06-05,v0.4.9,1
2026-06-05,v0.4.8,1
2026-06-05,v0.4.7,1
2026-06-05,v0.4.6,1
2026-06-05,v0.4.5,1
2026-06-05,v0.4.4,1
2026-06-05,v0.4.3,2
2026-06-05,v0.4.2,1
2026-06-05,v0.4.1,1
2026-06-05,v0.4.0,1
2026-06-05,v0.3.5,1
2026-06-05,v0.3.4,1
2026-06-05,v0.3.3,1
2026-06-05,v0.3.2,1
2026-06-05,v0.3.1,1
2026-06-05,v0.3.0,1
2026-06-05,v0.2.5,1
2026-06-05,v0.2.3,3
2026-06-05,v0.2.1,1
2026-06-05,v0.2.0,1
